game,link,platforms,difficulty,time_needed,platinum_rarity,views,guide_rating,guide_rating_count,user_favourites
Fight Night Round 4,https://psnprofiles.com/guide/2701-fight-night-round-4-trophy-guide,PS3,1/10,10,0.09%,"16,081",3/5,14,13
That's You!,https://psnprofiles.com/guide/6202-thats-you-trophy-guide,PS4,1/10,7,1.65%,"56,012",4/5,17,76
Oh...Sir! The Insult Simulator,https://psnprofiles.com/guide/7470-ohsir-the-insult-simulator-trophy-guide,PS4,1/10,100,2.50%,"23,046",5/5,5,24
Ultimate Chicken Horse,https://psnprofiles.com/guide/18735-ultimate-chicken-horse-trophy-guide,PS4,1/10,15,4.49%,"2,806",,0,5
First Class Trouble,https://psnprofiles.com/guide/13227-first-class-trouble-trophy-guide,PS5,1/10,10,5.41%,"14,128",5/5,5,21
Farming Simulator 22,https://psnprofiles.com/guide/13412-farming-simulator-22-trophy-guide,PS5,1/10,50,6.18%,"190,102",5/5,11,101
Danganronpa S: Ultimate Summer Camp,https://psnprofiles.com/guide/15499-danganronpa-s-ultimate-summer-camp-trophy-guide,PS4,1/10,120,7.45%,"14,042",,0,13
International Cricket 2010,https://psnprofiles.com/guide/341-international-cricket-2010-trophy-guide,PS3,1/10,25,13.90%,"3,348",,0,5
Are You Smarter Than A 5th Grader?,https://psnprofiles.com/guide/15675-are-you-smarter-than-a-5th-grader-trophy-guide,PS5,1/10,10,15.14%,"5,302",,0,8
Minecraft: Story Mode,https://psnprofiles.com/guide/3828-minecraft-story-mode-trophy-guide,PS4,1/10,8,15.26%,"53,865",5/5,23,67
Ashes Cricket 2009,https://psnprofiles.com/guide/340-ashes-cricket-2009-trophy-guide,PS3,1/10,20,15.90%,"4,970",,0,5
Lifeless Planet,https://psnprofiles.com/guide/4729-lifeless-planet-trophy-guide,PS4,1/10,10,16.60%,"14,152",5/5,5,25
Cricket 22,https://psnprofiles.com/guide/18458-cricket-22-trophy-guide,PS5,1/10,10,17.95%,"2,094",,0,3
Best Month Ever!,https://psnprofiles.com/guide/15665-best-month-ever-trophy-guide,PS4,1/10,7,19.01%,"3,921",,0,5
Gigantosaurus,https://psnprofiles.com/guide/16656-gigantosaurus-trophy-guide,PS4,1/10,5,19.82%,"2,062",,0,6
Grim Fandango,https://psnprofiles.com/guide/2715-grim-fandango-trophy-guide,PS4 Vita,1/10,13,20.63%,"104,593",5/5,55,306
Before Your Eyes,https://psnprofiles.com/guide/18454-before-your-eyes-trophy-guide,PS5 VR,1/10,2,21.12%,"4,599",,0,8
Eastshade,https://psnprofiles.com/guide/16618-eastshade-trophy-guide,PS4,1/10,15,22.41%,"2,532",,0,3
Kentucky Route Zero,https://psnprofiles.com/guide/11058-kentucky-route-zero-trophy-guide,PS4,1/10,8,24.28%,"7,579",,0,14
Barbie and Her Sisters Puppy Rescue,https://psnprofiles.com/guide/3674-barbie-and-her-sisters-puppy-rescue-trophy-guide,PS3,1/10,8,24.74%,"7,630",,0,15
Oxenfree,https://psnprofiles.com/guide/5306-oxenfree-trophy-guide,PS4,1/10,12,24.85%,"86,617",5/5,36,131
As Dusk Falls,https://psnprofiles.com/guide/19003-as-dusk-falls-trophy-guide,PS5,1/10,9,25.78%,"4,796",,0,12
